"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2264","test_login_empty_username_and_password[chromium--secret_sauce-Epic sadface: Username is required]","tests.ui","Tue Jul 15 18:07:41 GMT 2025","passed","Tue Jul 15 18:07:43 GMT 2025","","test_login_negative","",""
"","180","test_update_user","tests.api","Tue Jul 15 18:07:04 GMT 2025","passed","Tue Jul 15 18:07:04 GMT 2025","","test_update_user","",""
"","3661","test_login_standard_user_success[chromium]","tests.ui","Tue Jul 15 18:07:43 GMT 2025","passed","Tue Jul 15 18:07:47 GMT 2025","","test_login_positive","",""
"","202","test_get_resource_list","tests.api","Tue Jul 15 18:06:59 GMT 2025","passed","Tue Jul 15 18:06:59 GMT 2025","","test_get_resource_list","",""
"","9654","test_login_performance_glitch_user_success[chromium]","tests.ui","Tue Jul 15 18:07:51 GMT 2025","passed","Tue Jul 15 18:08:01 GMT 2025","","test_login_positive","",""
"","192","test_create_user_with_faker","tests.api","Tue Jul 15 18:06:58 GMT 2025","passed","Tue Jul 15 18:06:58 GMT 2025","","test_create_user_with_faker","",""
"","39","test_get_users_page_1","tests.api","Tue Jul 15 18:07:00 GMT 2025","passed","Tue Jul 15 18:07:00 GMT 2025","","test_get_users_page_1","",""
"","213","test_delete_user_not_found","tests.api","Tue Jul 15 18:06:59 GMT 2025","passed","Tue Jul 15 18:06:59 GMT 2025","","test_delete_user_not_found","",""
"","3440","test_login_visual_user_success[chromium]","tests.ui","Tue Jul 15 18:08:01 GMT 2025","passed","Tue Jul 15 18:08:05 GMT 2025","","test_login_positive","",""
"
        End-to-End test: Add multiple items to the cart and complete checkout.
     ","6981","test_e2e_add_to_cart_and_checkout[chromium]","tests.ui","Tue Jul 15 18:07:15 GMT 2025","passed","Tue Jul 15 18:07:22 GMT 2025","","test_e2e_buy_items","",""
"","224","test_get_single_resource","tests.api","Tue Jul 15 18:06:59 GMT 2025","passed","Tue Jul 15 18:06:59 GMT 2025","","test_get_single_resource","",""
"","192","test_login_success","tests.api","Tue Jul 15 18:07:03 GMT 2025","passed","Tue Jul 15 18:07:03 GMT 2025","","test_login_success","",""
"","215","test_create_user","tests.api","Tue Jul 15 18:06:58 GMT 2025","passed","Tue Jul 15 18:06:58 GMT 2025","","test_create_user","",""
"","183","test_login_failure_missing_password","tests.api","Tue Jul 15 18:07:03 GMT 2025","passed","Tue Jul 15 18:07:03 GMT 2025","","test_login_failure","",""
"","188","test_get_user_not_found","tests.api","Tue Jul 15 18:06:59 GMT 2025","passed","Tue Jul 15 18:07:00 GMT 2025","","test_get_user_not_found","",""
"","3652","test_login_empty_username_and_password[chromium-standard_user--Epic sadface: Password is required]","tests.ui","Tue Jul 15 18:08:05 GMT 2025","passed","Tue Jul 15 18:08:09 GMT 2025","","test_login_negative","",""
"","185","test_register_success","tests.api","Tue Jul 15 18:07:04 GMT 2025","passed","Tue Jul 15 18:07:04 GMT 2025","","test_register_success","",""
"","3833","test_login_locked_out_user[chromium]","tests.ui","Tue Jul 15 18:07:33 GMT 2025","passed","Tue Jul 15 18:07:37 GMT 2025","","test_login_negative","",""
"","55","test_get_user_by_id","tests.api","Tue Jul 15 18:06:59 GMT 2025","passed","Tue Jul 15 18:06:59 GMT 2025","","test_get_user_by_id","",""
"","3194","test_get_users_with_delay","tests.api","Tue Jul 15 18:07:00 GMT 2025","passed","Tue Jul 15 18:07:03 GMT 2025","","test_get_users_with_delay","",""
"","185","test_patch_user","tests.api","Tue Jul 15 18:07:03 GMT 2025","passed","Tue Jul 15 18:07:03 GMT 2025","","test_patch_user","",""
"","199","test_register_failure_missing_password","tests.api","Tue Jul 15 18:07:03 GMT 2025","passed","Tue Jul 15 18:07:04 GMT 2025","","test_register_failure","",""
"
     End-to-End test: Add multiple items to cart, remove one, and complete checkout
     ","6927","test_e2e_remove_item_and_checkout[chromium]","tests.ui","Tue Jul 15 18:07:26 GMT 2025","passed","Tue Jul 15 18:07:33 GMT 2025","","test_e2e_remove_item","",""
"","262","test_delete_user","tests.api","Tue Jul 15 18:06:58 GMT 2025","passed","Tue Jul 15 18:06:59 GMT 2025","","test_delete_user","",""
"","2186","test_login_invalid_username[chromium]","tests.ui","Tue Jul 15 18:07:38 GMT 2025","passed","Tue Jul 15 18:07:40 GMT 2025","","test_login_negative","",""
"","42","test_get_users_page_2","tests.api","Tue Jul 15 18:07:00 GMT 2025","passed","Tue Jul 15 18:07:00 GMT 2025","","test_get_users_page_2","",""
"","3523","test_login_problem_user_success[chromium]","tests.ui","Tue Jul 15 18:07:47 GMT 2025","passed","Tue Jul 15 18:07:51 GMT 2025","","test_login_positive","",""
"","235","test_update_user_not_found","tests.api","Tue Jul 15 18:07:04 GMT 2025","passed","Tue Jul 15 18:07:04 GMT 2025","","test_update_user_not_found","",""
