"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
     End-to-End test: Add multiple items to cart, remove one, and complete checkout
     ","6913","test_e2e_remove_item_and_checkout[chromium]","tests.ui","Sun Jul 13 20:42:02 GMT 2025","passed","Sun Jul 13 20:42:09 GMT 2025","","test_e2e_remove_item","",""
"","197","test_get_user_not_found","tests.api","Sun Jul 13 20:41:33 GMT 2025","passed","Sun Jul 13 20:41:33 GMT 2025","","test_get_user_not_found","",""
"","3835","test_login_locked_out_user[chromium]","tests.ui","Sun Jul 13 20:42:09 GMT 2025","passed","Sun Jul 13 20:42:13 GMT 2025","","test_login_negative","",""
"","3593","test_login_empty_username_and_password[chromium-standard_user--Epic sadface: Password is required]","tests.ui","Sun Jul 13 20:42:42 GMT 2025","passed","Sun Jul 13 20:42:45 GMT 2025","","test_login_negative","",""
"","2165","test_login_invalid_username[chromium]","tests.ui","Sun Jul 13 20:42:14 GMT 2025","passed","Sun Jul 13 20:42:16 GMT 2025","","test_login_negative","",""
"","3514","test_login_problem_user_success[chromium]","tests.ui","Sun Jul 13 20:42:23 GMT 2025","passed","Sun Jul 13 20:42:27 GMT 2025","","test_login_positive","",""
"","222","test_get_all_users","tests.api","Sun Jul 13 20:41:33 GMT 2025","passed","Sun Jul 13 20:41:33 GMT 2025","","test_get_all_users","",""
"
        End-to-End test: Add multiple items to the cart and complete checkout.
     ","6959","test_e2e_add_to_cart_and_checkout[chromium]","tests.ui","Sun Jul 13 20:41:50 GMT 2025","passed","Sun Jul 13 20:41:57 GMT 2025","","test_e2e_buy_items","",""
"","10705","test_login_performance_glitch_user_success[chromium]","tests.ui","Sun Jul 13 20:42:27 GMT 2025","passed","Sun Jul 13 20:42:38 GMT 2025","","test_login_positive","",""
"","3626","test_login_standard_user_success[chromium]","tests.ui","Sun Jul 13 20:42:19 GMT 2025","passed","Sun Jul 13 20:42:23 GMT 2025","","test_login_positive","",""
"","26","test_get_user_by_id","tests.api","Sun Jul 13 20:41:33 GMT 2025","passed","Sun Jul 13 20:41:33 GMT 2025","","test_get_user_by_id","",""
"","3396","test_login_visual_user_success[chromium]","tests.ui","Sun Jul 13 20:42:38 GMT 2025","passed","Sun Jul 13 20:42:41 GMT 2025","","test_login_positive","",""
"","2253","test_login_empty_username_and_password[chromium--secret_sauce-Epic sadface: Username is required]","tests.ui","Sun Jul 13 20:42:17 GMT 2025","passed","Sun Jul 13 20:42:19 GMT 2025","","test_login_negative","",""
