"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","107","test_get_single_resource","tests.api","Thu Jul 17 21:40:21 GMT 2025","passed","Thu Jul 17 21:40:21 GMT 2025","","test_get_single_resource","",""
"","185","test_register_failure_missing_password","tests.api","Thu Jul 17 21:40:25 GMT 2025","passed","Thu Jul 17 21:40:25 GMT 2025","","test_register_failure","",""
"","3184","test_get_users_with_delay","tests.api","Thu Jul 17 21:40:21 GMT 2025","passed","Thu Jul 17 21:40:24 GMT 2025","","test_get_users_with_delay","",""
"","3592","test_login_empty_username_and_password[chromium-standard_user--Epic sadface: Password is required]","tests.ui","Thu Jul 17 21:41:26 GMT 2025","passed","Thu Jul 17 21:41:30 GMT 2025","","test_login_negative","",""
"","178","test_get_user_not_found","tests.api","Thu Jul 17 21:40:21 GMT 2025","passed","Thu Jul 17 21:40:21 GMT 2025","","test_get_user_not_found","",""
"","6891","test_e2e_remove_item_and_checkout[chromium]","tests.ui","Thu Jul 17 21:40:47 GMT 2025","passed","Thu Jul 17 21:40:54 GMT 2025","","test_e2e_remove_item","",""
"","6967","test_e2e_add_to_cart_and_checkout[chromium]","tests.ui","Thu Jul 17 21:40:36 GMT 2025","passed","Thu Jul 17 21:40:43 GMT 2025","","test_e2e_buy_items","",""
"","106","test_login_failure_missing_password","tests.api","Thu Jul 17 21:40:24 GMT 2025","passed","Thu Jul 17 21:40:25 GMT 2025","","test_login_failure","",""
"","3514","test_login_problem_user_success[chromium]","tests.ui","Thu Jul 17 21:41:08 GMT 2025","passed","Thu Jul 17 21:41:12 GMT 2025","","test_login_positive","",""
"","9661","test_login_performance_glitch_user_success[chromium]","tests.ui","Thu Jul 17 21:41:12 GMT 2025","passed","Thu Jul 17 21:41:22 GMT 2025","","test_login_positive","",""
"","123","test_login_success","tests.api","Thu Jul 17 21:40:25 GMT 2025","passed","Thu Jul 17 21:40:25 GMT 2025","","test_login_success","",""
"","33","test_get_user_by_id","tests.api","Thu Jul 17 21:40:21 GMT 2025","passed","Thu Jul 17 21:40:21 GMT 2025","","test_get_user_by_id","",""
"","106","test_get_resource_list","tests.api","Thu Jul 17 21:40:21 GMT 2025","passed","Thu Jul 17 21:40:21 GMT 2025","","test_get_resource_list","",""
"","187","test_create_user","tests.api","Thu Jul 17 21:40:20 GMT 2025","passed","Thu Jul 17 21:40:20 GMT 2025","","test_create_user","",""
"","127","test_update_user_not_found","tests.api","Thu Jul 17 21:40:25 GMT 2025","passed","Thu Jul 17 21:40:26 GMT 2025","","test_update_user_not_found","",""
"","198","test_patch_user","tests.api","Thu Jul 17 21:40:25 GMT 2025","passed","Thu Jul 17 21:40:25 GMT 2025","","test_patch_user","",""
"","171","test_register_success","tests.api","Thu Jul 17 21:40:25 GMT 2025","passed","Thu Jul 17 21:40:25 GMT 2025","","test_register_success","",""
"","2177","test_login_invalid_username[chromium]","tests.ui","Thu Jul 17 21:40:59 GMT 2025","passed","Thu Jul 17 21:41:01 GMT 2025","","test_login_negative","",""
"","3440","test_login_visual_user_success[chromium]","tests.ui","Thu Jul 17 21:41:22 GMT 2025","passed","Thu Jul 17 21:41:26 GMT 2025","","test_login_positive","",""
"","199","test_delete_user_not_found","tests.api","Thu Jul 17 21:40:20 GMT 2025","passed","Thu Jul 17 21:40:21 GMT 2025","","test_delete_user_not_found","",""
"","2288","test_login_empty_username_and_password[chromium--secret_sauce-Epic sadface: Username is required]","tests.ui","Thu Jul 17 21:41:02 GMT 2025","passed","Thu Jul 17 21:41:04 GMT 2025","","test_login_negative","",""
"","3616","test_login_standard_user_success[chromium]","tests.ui","Thu Jul 17 21:41:04 GMT 2025","passed","Thu Jul 17 21:41:08 GMT 2025","","test_login_positive","",""
"","4262","test_login_locked_out_user[chromium]","tests.ui","Thu Jul 17 21:40:54 GMT 2025","passed","Thu Jul 17 21:40:58 GMT 2025","","test_login_negative","",""
"","181","test_update_user","tests.api","Thu Jul 17 21:40:25 GMT 2025","passed","Thu Jul 17 21:40:25 GMT 2025","","test_update_user","",""
"","41","test_get_users_page_1","tests.api","Thu Jul 17 21:40:21 GMT 2025","passed","Thu Jul 17 21:40:21 GMT 2025","","test_get_users_page_1","",""
"","63","test_get_users_page_2","tests.api","Thu Jul 17 21:40:21 GMT 2025","passed","Thu Jul 17 21:40:21 GMT 2025","","test_get_users_page_2","",""
"","183","test_create_user_with_faker","tests.api","Thu Jul 17 21:40:20 GMT 2025","passed","Thu Jul 17 21:40:20 GMT 2025","","test_create_user_with_faker","",""
"","197","test_delete_user","tests.api","Thu Jul 17 21:40:20 GMT 2025","passed","Thu Jul 17 21:40:20 GMT 2025","","test_delete_user","",""
